XID,Reg.,State
r422150,PRM/KA/RERA/1251/446/PR/170524/006882,Karnataka
r422453,PRM/KA/RERA/1251/446/PR/300124/006601,Karnataka
r422604,PRM/KA/RERA/1251/446/PR/050224/006610,Karnataka
r24198,PRM/KA/RERA/1251/446/PR/220922/005261,Karnataka
r367669,PRM/KA/RERA/1251/310/PR/251023/006347 ,Karnataka
r423236,PRM/KA/RERA/1251/446/PR/290224/006660,Karnataka
r423416,PRM/KA/RERA/1251/446/PR/160523/005939,Karnataka
r269143,PRM/KA/RERA/1251/308/PR/170928/001289,Karnataka
r23834,PRM/KA/RERA/1251/310/PR/170913/000120,Karnataka
r263303,PRM/KA/RERA/1251/310/PR/170916/000336,Karnataka
r76733,PRM/KA/RERA/1251/446/PR/170907/000091,Karnataka
r181269,PRM/KA/RERA/1251/309/PR/170917/000316,Karnataka
r245479,PRM/KA/RERA/1251/310/PR/171026/000862,Karnataka
r423851,PRM/KA/RERA/1251/310/PR/280224/006657,Karnataka
r423949,PRM/KA/RERA/1251/309/PR/070324/006697,Karnataka
r424098,PRM/KA/RERA/1251/308/PR/060324/006691,Karnataka
r424109,PRM/KA/RERA/1251/446/PR/060324/006667,Karnataka
r424173,PRM/KA/RERA/1251/309/PR/060324/006692,Karnataka
r424417,PRM/KA/RERA/1251/309/PR/060324/006684,Karnataka
r424462,PRM/KA/RERA/1251/310/PR/220324/006728,Karnataka
r424468,PRM/KA/RERA/1251/310/PR/210324/006712,Karnataka
r419023,PRM/KA/RERA/1251/446/PR/240306/006662,Karnataka
r383939,PRM/KA/RERA/1251/310/PR/160224/006627,Karnataka
r397983,PRM/KA/RERA/1251/446/PR/200224/006641,Karnataka
r27572,PRM/KA/RERA/1251/310/PR/300124/006595,Karnataka
r425506,PRM/KA/RERA/1251/310/PR/140324/006701,Karnataka
r425507,PRM/KA/RERA/1251/310/PR/210324/006724,Karnataka
r260680,PRM/KA/RERA/1251/309/PR/171014/000527 ,Karnataka
r426627,PRM/KA/RERA/1251/308/PR/240424/006833,Karnataka
r426628,PRM/KA/RERA/1251/309/PR/030424/006771,Karnataka
r426783,PRM/KA/RERA/1251/309/PR/171014/000197,Karnataka
r426786,PRM/KA/RERA/1251/310/PR/040524/006862,Karnataka
r426926,PRM/KA/RERA/1251/308/PR/220424/006830,Karnataka
r368250,PRM/KA/RERA/1254/465/PR/200224/006648,Karnataka
r400446,PRM/KA/RERA/1250/303/PR/220124/006562,Karnataka
r426990,PRM/KA/RERA/1251/310/PR/280324/006754,Karnataka
r427026,PRM/KA/RERA/1251/472/PR/280324/006742,Karnataka
r427272,PRM/KA/RERA/1250/304/PR/170524/006887,Karnataka
r427769,PRM/KA/RERA/1250/307/PR/040524/006863,Karnataka
