Updated Projectid,Registration Number,Builder Name,Project Category,Project Name,State,District,Project Registration Date,Declared Date Of Completion,Tehsil,Total area in round figure (Sq.mt.),Latitude,Longtitude,Architect Name
#N/A,UPRERAPRJ7263,SUPERTECH REALTORS PRIVATE LIMITED,Commercial,SUPERNOVA PHASE-III (ASTRALIS - COMMERCIAL),Uttar Pradesh,Gautam Buddha Nagar,13-08-2017,31-12-2018,Gautam Buddha Nagar,10657,29.1417703,77.336962, modarch india 
R921,UPRERAPRJ4766,LOGIX INFRATECH PRIVATE LIMITED,Residential,"BLOSSOM GREENS(PHASE-6 TOWER -U,V,W & SHOP)",Uttar Pradesh,Gautam Buddha Nagar,3/8/2017,31-12-2021,Gautam Buddha Nagar,11909,77.3273 E,28.5874 N,
R1084,UPRERAPRJ8574,PANCHSHEEL BUILDTECH PVT. LTD.,Residential,"PANCHSHEEL GREENS - II (TOWER-C1 TO C4,188 VILLAS)",Uttar Pradesh,Gautam Buddha Nagar,12/8/2017,31-03-2019,Gautam Buddha Nagar,23811,"28,36,22","77,27,33",Oasis Designs incorporated
R23822,UPRERAPRJ4599,VIRAJ CONSTRUCTIONS PVT. LTD.,Residential,"LOTUS COURT (PHASE 1), BBD GREEN CITY",Uttar Pradesh,Lucknow,8/8/2017,31-12-2020,Lucknow,15417,26.88426062,81.05540289,DESIGN GROUP
#N/A,UPRERAPRJ407418,JUGAL KISHORE & NDBG SAGE CITY LLP,Residential,THE SAGE CITY,Uttar Pradesh,Lucknow,30-07-2019,9/3/2024,Sarojini Nagar,100659,26.879641,80.56982,DESIGNER WING
#N/A,UPRERAPRJ596460,TANMAY PROJECTS LLP (FORMERLY TANMAY PROJECTS PRIVATE LIMITED),Commercial,DWARIKA STREET,Uttar Pradesh,Agra,24-02-2023,10/8/2027,Agra,1740,27.193731,77.93201,Kwanit Sharma
R344889,UPRERAPRJ950870,GULSHAN HOMZ PRIVATE LIMITED,Residential,GULSHAN DYNASTY,Uttar Pradesh,Gautam Buddha Nagar,19-11-2019,30-11-2024,Gautam Buddha Nagar,23504,282950.06,772618.03,VISHAL SHARMA
#N/A,UPRERAPRJ6974,UNNATI FORTUNE HOLDINGS LTD,Residential,THE ARANYA PHASE 2,Uttar Pradesh,Gautam Buddha Nagar,31-07-2017,30-04-2018,Gautam Buddha Nagar,15900,28 35'23.90' N,77 24'08.59' E,
#N/A,UPRERAPRJ4817,JAVIN CONSTRUCTION PRIVATE LIMITED,Residential,RAJ EMPIRE (PHASE-I),Uttar Pradesh,Ghaziabad,5/8/2017,25-01-2018,Ghaziabad,10500,"28,42,35 N","77,25,05 E",PREM CHAND TURAI
R50678,UPRERAPRJ9777,M/S SHALIMAR CORP LTD.,Residential,SHALIMAR PARADISE PHASE-1,Uttar Pradesh,Barabanki,12/8/2017,30-12-2018,Nawabganj,48254,26.899636,81.10873,JSR Architecture Interioors
#N/A,UPRERAPRJ521563/04/2024,"OMAXE LIMITED
ADVAY PROPERTIES PRIVATE LIMITED",Residential,OMAXE GH-6 PHASE-2,Uttar Pradesh,Lucknow,23-04-2024,16-08-2028,Sarojini Nagar,995,26.814063,80.992341,Apurba Borah
#N/A,UPRERAPRJ15467,SANSKAR HOUSING & DEVELOPERS,Residential,SANSKAR VALLEY,Uttar Pradesh,Jhansi,20-03-2018,26-02-2023,Jhansi,52477,25.454788,78.645286,LANTERN ARCHITECTS
#N/A,UPRERAPRJ744618/10/2024,"SONAL INFRAVENTURE
ASHUTOSH TIWARI
RAJEEV TIWARI
SHIVANSH TIWARI",Residential,SONAL PALMS,Uttar Pradesh,Prayagraj,4/10/2024,30-04-2029,Phulpur,11448,25.430543,81.925078,Ar. MANISH GUJRAL
